Site,Plot,Soil Depth (cm),Year,soil pH,soil-water pH,Buffer pH,P (lbs/a),K (lbs/a),Ca (lbs/a),Mg (lbs/a),Zn (lbs/a)
ST,202,10-20,0,5.63,6.46,6.74,518,276,5356,391,4.6
ST,203,0-10,0,6.13,6.92,7.04,533,302,5897,433,15.6
ST,203,10-20,0,5.92,6.73,6.85,545,261,5696,401,13.3
ST,204,0-10,0,6.12,6.91,7.03,506,309,5585,449,26.9
ST,204,10-20,0,5.79,6.61,6.83,531,261,5107,374,29.1
ST,205,0-10,0,5.96,6.76,6.89,486,268,6165,417,4.3
ST,205,10-20,0,5.75,6.57,6.87,491,243,6054,350,3.1
ST,206,0-10,0,5.97,6.77,6.9,488,276,5502,419,10.6
ST,206,10-20,0,5.73,6.55,6.83,526,264,5527,367,7.4
ST,301,0-10,0,5.98,6.78,6.89,490,288,5617,395,2.4
ST,301,10-20,0,5.66,6.49,6.81,505,237,5409,343,1.9
ST,302,0-10,0,5.99,6.79,6.9,492,287,5680,381,6
ST,302,10-20,0,5.61,6.45,6.8,548,197,4906,281,5.3
ST,303,0-10,0,6.08,6.87,6.95,454,247,5546,379,2.1
ST,303,10-20,0,5.78,6.6,6.89,466,211,5132,316,1.7
ST,304,0-10,0,5.95,6.75,6.86,514,297,5779,419,2.2
ST,304,10-20,0,5.62,6.45,6.78,536,252,4793,318,1.7
ST,305,0-10,0,5.62,6.45,6.71,532,295,5473,352,5.5
ST,305,10-20,0,5.92,6.73,6.91,496,263,5123,374,5.5
ST,306,0-10,0,5.87,6.68,6.82,498,251,5715,385,2.7
ST,306,10-20,0,5.61,6.45,6.77,529,230,5277,336,1.9
ST,401,0-10,0,6.01,6.81,6.88,489,374,5468,443,2.9
ST,401,10-20,0,5.78,6.6,6.88,484,292,5061,357,2.5
ST,402,0-10,0,5.96,6.76,6.9,482,418,5536,425,5.7
ST,402,10-20,0,6.22,7,6.98,459,331,5964,368,5.6
ST,403,0-10,0,6.16,6.95,6.96,503,294,5477,402,2.6
ST,403,10-20,0,5.95,6.75,6.91,471,290,5177,343,2.9
ST,404,0-10,0,6.15,6.94,6.98,477,358,5136,435,3.9
ST,404,10-20,0,5.79,6.61,6.86,454,282,4967,377,4.2
ST,405,0-10,0,5.97,6.77,6.92,454,328,4865,392,5.1
ST,405,10-20,0,5.7,6.53,6.83,447,257,4669,327,6.5
ST,406,0-10,0,6.16,6.95,6.98,451,291,5472,419,2.5
ST,406,10-20,0,5.94,6.75,6.98,438,262,5335,374,2.5
ST,501,0-10,0,6.16,6.95,6.99,469,361,5232,426,18.8
ST,501,10-20,0,6.03,6.83,6.98,460,301,5293,378,20.9
ST,502,0-10,0,6.13,6.92,6.98,444,375,5326,434,9.9
ST,502,10-20,0,5.82,6.64,6.92,431,240,4837,344,10.3
ST,503,0-10,0,6.14,6.93,6.99,417,277,5292,414,2.8
ST,503,10-20,0,5.76,6.58,6.91,412,213,4943,345,2.3
ST,504,0-10,0,6.23,7.01,7.03,446,274,5282,428,22.5
ST,504,10-20,0,5.99,6.79,7,438,249,5193,357,24.5
ST,505,0-10,0,6.21,6.99,7.03,426,264,4951,401,27.9
ST,505,10-20,0,5.8,6.62,6.91,406,231,4654,331,32
ST,506,0-10,0,6.13,6.92,7.02,395,242,5078,422,9.5
ST,506,10-20,0,5.98,6.78,7.02,378,228,4863,362,9.7
