label,group,year,method,nseqs,coverage,sobs,invsimpson,invsimpson_lci,invsimpson_hci
0.03,4KS304,4,ave,39624,0.965475,3900,341.970716,332.736204,351.732434
0.03,4KS305,4,ave,39624,0.967873,3702,307.056401,298.387733,316.243819
0.03,4KS306,4,ave,39624,0.971987,3377,303.055091,295.167096,311.376257
0.03,4KS401,4,ave,39624,0.963128,4235,316.572769,306.837958,326.945516
0.03,4KS402,4,ave,39624,0.949172,4811,354.628138,344.201728,365.705945
0.03,4KS403,4,ave,39624,0.960554,4020,287.544084,279.261766,296.332689
0.03,4KS404,4,ave,39624,0.963128,3892,316.012801,307.677497,324.812305
0.03,4KS405,4,ave,39624,0.953816,4517,319.869477,309.414538,331.055658
0.03,4KS406,4,ave,39624,0.956516,4154,124.690997,119.363079,130.516774
0.03,4KS501,4,ave,39624,0.955002,4201,308.151203,299.778241,317.005326
0.03,4KS502,4,ave,39624,0.952327,4276,271.88859,262.805076,281.622505
0.03,4KS503,4,ave,39624,0.964643,3905,305.620686,296.710948,315.082078
0.03,4KS504,4,ave,39624,0.962195,4078,366.79546,356.629605,377.557884
0.03,4KS505,4,ave,39624,0.962422,4069,273.401971,264.858049,282.515495
0.03,4KS506,4,ave,39624,0.958964,4237,314.664138,305.25052,324.676845
0.03,4UK101,4,ave,39624,0.964693,3983,428.723577,418.777526,439.153563
0.03,4UK102,4,ave,39624,0.963961,4099,421.694952,410.420541,433.606283
0.03,4UK103,4,ave,39624,0.96646,3592,322.556617,313.554747,332.090635
0.03,4UK104,4,ave,39624,0.963557,4045,397.937282,387.939049,408.464512
0.03,4UK105,4,ave,39624,0.96333,4063,406.87884,397.109616,417.140848
0.03,4UK106,4,ave,39624,0.966106,3859,362.727672,352.792369,373.238786
0.03,4UK201,4,ave,39624,0.970498,3791,444.833417,433.415621,456.869065
0.03,4UK202,4,ave,39624,0.962775,4104,440.263457,429.073303,452.052914
0.03,4UK203,4,ave,39624,0.970346,3862,448.752272,437.910454,460.144563
0.03,4UK204,4,ave,39624,0.970674,3872,454.780854,443.163775,467.023389
0.03,4UK205,4,ave,39624,0.959999,3979,393.630434,384.536673,403.164722
0.03,4UK206,4,ave,39624,0.965905,3827,438.28031,427.808593,449.277535
0.03,4UK301,4,ave,39624,0.97022,3779,471.322029,459.8628,483.366952
0.03,4UK302,4,ave,39624,0.96863,3722,374.213151,364.307382,384.672666
0.03,4UK303,4,ave,39624,0.963507,4113,442.502464,431.385916,454.2071
0.03,4UK304,4,ave,39624,0.961008,4171,445.445272,434.489698,456.967623
0.03,4UK305,4,ave,39624,0.963835,3936,409.376456,399.031461,420.27212
0.03,4UK306,4,ave,39624,0.960933,4121,419.001411,408.338011,430.236677
0.03,4UK401,4,ave,39624,0.965147,3995,430.828967,419.714721,442.547846
0.03,4UK402,4,ave,39624,0.970245,3832,417.579856,406.806265,428.939611
0.03,4UK403,4,ave,39624,0.967267,3987,422.022765,410.806529,433.868666
0.03,4UK404,4,ave,39624,0.966535,3896,434.592218,423.60059,446.169464
0.03,4UK405,4,ave,39624,0.963154,4233,442.730065,431.362302,454.713198
0.03,4UK406,4,ave,39624,0.966233,4099,444.161159,432.577652,456.382098
0.03,4UK501,4,ave,39624,0.962422,4066,409.783124,399.024209,421.138303
0.03,4UK502,4,ave,39624,0.965173,4060,385.203709,374.049453,397.043658
0.03,4UK503,4,ave,39624,0.965829,4023,432.382569,421.440387,443.908097
0.03,4UK504,4,ave,39624,0.968479,3850,411.060934,400.739489,421.928113
0.03,4UK505,4,ave,39624,0.96063,4233,395.188372,384.388656,406.612484
0.03,4UK506,4,ave,39624,0.962169,3969,389.611985,379.618702,400.145629
