label,group,nseqs,coverage,sobs,invsimpson,invsimpsonlci,invsimpsonhci,shannon,shannonlci,shannonhci
0.03,4UK501,19050,0.934803,3040,412.465049,396.578882,429.677063,6.953668,6.931793,6.975543
0.03,4UK502,19050,0.932283,3122,396.633815,380.238035,414.507276,6.971434,6.949217,6.993651
0.03,4UK503,19050,0.933281,3079,432.834738,417.121144,449.778587,6.970959,6.949222,6.992696
0.03,4UK504,19050,0.935906,3026,410.506284,395.854351,426.284543,6.926652,6.904633,6.948671
0.03,4UK505,19050,0.932336,3155,399.496506,383.770675,416.566205,6.978928,6.956563,7.001292
0.03,4UK506,19050,0.934383,2926,387.095499,373.446259,401.780334,6.867878,6.845786,6.889971
0.03,1KS101,45492,0.951948,5266,270.42232,261.424098,280.06206,7.038736,7.02586,7.051612
0.03,1KS102,45492,0.965488,4179,133.194744,128.952431,137.725681,6.610007,6.5941,6.625913
0.03,1KS103,45492,0.960674,4308,212.075038,205.744653,218.807337,6.747074,6.733244,6.760905
0.03,1KS104,45492,0.977535,3182,153.876694,149.153372,158.908951,6.500463,6.485791,6.515136
0.03,1KS105,45492,0.979425,3032,157.786377,153.099309,162.769493,6.463819,6.449276,6.478362
0.03,1KS106,45492,0.979051,3049,156.07409,151.228252,161.240761,6.45812,6.44367,6.47257
0.03,1KS201,45492,0.97327,4070,240.834015,233.189709,248.99649,6.878725,6.865462,6.891988
0.03,1KS202,45492,0.983294,2695,173.226604,167.999025,178.789962,6.447461,6.433706,6.461216
0.03,1KS203,45492,0.952365,5016,269.253302,260.700449,278.386381,6.967617,6.954809,6.980425
0.03,1KS204,45492,0.987492,2202,181.309322,176.438598,186.456602,6.258131,6.245111,6.271151
0.03,1KS205,45492,0.952739,4904,303.982974,295.55928,312.900921,6.967083,6.954726,6.97944
0.03,1KS206,45492,0.979029,3852,345.150686,335.176673,355.736508,7.014551,7.002879,7.026224
0.03,1KS301,45492,0.987778,2146,238.685804,232.275893,245.459532,6.398955,6.387413,6.410498
0.03,1KS302,45492,0.988372,1939,176.484613,171.993853,181.216168,6.140302,6.127543,6.153061
0.03,1KS303,45492,0.96661,3991,232.797595,226.262592,239.721319,6.709507,6.696138,6.722876
0.03,1KS304,45492,0.960081,5012,324.34029,313.553946,335.895178,7.135902,7.123939,7.147866
0.03,1KS305,45492,0.967049,3766,137.359204,133.165919,141.825162,6.472052,6.456627,6.487476
0.03,1KS306,45492,0.951706,4689,136.713014,132.158521,141.592629,6.596193,6.58051,6.611876
0.03,1KS401,45492,0.947046,5462,343.461751,333.457897,354.084406,7.130998,7.119187,7.142809
0.03,1KS402,45492,0.952717,5127,323.504526,314.090963,333.499788,7.065946,7.053857,7.078034
0.03,1KS403,45492,0.953376,4991,331.994417,322.763835,341.768504,7.033233,7.021291,7.045174
0.03,1KS404,45492,0.965576,4224,266.626165,259.160361,274.534873,6.832337,6.819454,6.84522
0.03,1KS405,45492,0.964192,4200,263.0551,255.641247,270.911815,6.804433,6.791595,6.817272
0.03,1KS406,45492,0.957839,4624,303.372919,294.925485,312.318536,6.921086,6.908758,6.933414
0.03,1KS501,45492,0.965642,4309,300.458609,291.806173,309.639837,6.926118,6.913832,6.938404
0.03,1KS502,45492,0.968632,3975,235.873322,228.70966,243.500255,6.763358,6.750219,6.776498
0.03,1KS503,45492,0.956168,4539,233.168216,225.910293,240.907976,6.795145,6.781803,6.808487
0.03,1KS504,45492,0.951882,5297,352.877561,341.855544,364.633995,7.137234,7.125627,7.148841
0.03,1KS505,45492,0.979469,3205,189.540243,183.517185,195.972073,6.612599,6.598891,6.626306
0.03,1KS506,45492,0.986283,2743,380.146096,369.96897,390.898966,6.872287,6.861867,6.882708
0.03,2KS101,45492,0.963356,4232,198.34785,192.409223,204.664738,6.711853,6.6977,6.726007
0.03,2KS102,45492,0.958059,4686,239.052615,231.334417,247.303605,6.88986,6.876554,6.903167
0.03,2KS103,45492,0.972896,3647,163.645101,158.202162,169.475914,6.57369,6.559078,6.588302
0.03,2KS104,45492,0.951354,5097,336.069213,326.866317,345.805335,7.036098,7.024147,7.04805
0.03,2KS105,45492,0.954893,4880,280.757898,272.315682,289.740305,6.965021,6.952326,6.977716
0.03,2KS106,45492,0.970412,3889,284.620313,277.31423,292.321783,6.790522,6.777989,6.803055
0.03,2KS201,45492,0.963004,4449,262.144618,253.848982,271.000765,6.903701,6.890823,6.91658
0.03,2KS202,45492,0.961268,4468,273.757451,265.72502,282.290635,6.892154,6.879483,6.904826
0.03,2KS203,45492,0.970039,4083,286.576329,278.750046,294.854775,6.85241,6.839823,6.864997
0.03,2KS204,45492,0.97294,3803,159.100332,154.401932,164.093649,6.584462,6.569316,6.599608
0.03,2KS205,45492,0.949178,5220,271.509243,261.941542,281.802383,7.031978,7.019476,7.04448
0.03,2KS206,45492,0.965247,4297,270.600251,263.20892,278.418696,6.84301,6.830071,6.855949
0.03,2KS301,45492,0.946452,5593,381.967704,370.97865,393.627661,7.180325,7.169043,7.191607
0.03,2KS302,45492,0.939132,5866,357.416255,346.580618,368.951298,7.191233,7.17969,7.202776
0.03,2KS303,45492,0.953288,4972,322.214371,312.7625,332.255326,7.009296,6.99725,7.021343
0.03,2KS304,45492,0.959136,4424,270.185913,262.628506,278.191151,6.820992,6.8082,6.833785
0.03,2KS305,45492,0.972677,3498,171.581373,166.811785,176.631739,6.480797,6.466281,6.495313
0.03,2KS306,45492,0.962411,4012,234.828785,228.293841,241.748881,6.686306,6.67312,6.699493
0.03,2KS401,45492,0.948672,5069,308.449231,299.8306,317.57801,6.983117,6.97083,6.995404
0.03,2KS402,45492,0.936428,6251,418.089082,404.86892,432.201742,7.332765,7.322148,7.343381
0.03,2KS403,45492,0.94221,5733,379.897944,368.987382,391.473392,7.187799,7.176507,7.19909
0.03,2KS404,45492,0.947881,5127,227.896144,220.903159,235.346348,6.884134,6.870431,6.897838
0.03,2KS405,45492,0.959641,4596,321.773294,312.61834,331.480624,6.960477,6.948495,6.972459
0.03,2KS406,45492,0.965357,4128,315.37457,307.470634,323.695589,6.844783,6.83271,6.856857
0.03,2KS501,45492,0.939814,5936,317.422493,305.161636,330.709831,7.211844,7.200201,7.223486
0.03,2KS502,45492,0.951904,4854,274.325297,265.678477,283.553893,6.934741,6.922182,6.9473
0.03,2KS503,45492,0.957993,4678,313.679962,304.293893,323.663494,6.959332,6.947243,6.971422
0.03,2KS504,45492,0.971863,3861,311.041485,302.873183,319.662587,6.852476,6.840416,6.864537
0.03,2KS505,45492,0.96883,4109,297.99941,289.999828,306.452845,6.859261,6.846897,6.871626
0.03,2KS506,45492,0.964499,4396,343.339694,334.200068,352.993272,6.966769,6.955045,6.978493
